Program Type,Institution Name,Program Name,Website Address,Description,Location,Cost,Deadline,Application Deadline,Age Eligibility,"Grade, Year in School, Eligibility",Geographic Location,Cost Type,Cost Amount,Special Considerations,STEM,Business/ Economics,Arts/Music,Humanities,World Languages/ Cultures,Leadership,Sports/ Outdoor Adventures,Grade Eligibility,Last Updated Date,Unnamed: 21,AI_Category
Camps & Pre-college Program,Abbey Road,Abbey Road Programs,http://www.goabbeyroad.com,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Acadia Institute of Oceanography,Marine Science Camp,http://www.acadiainstitute.com,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,"Alabama, University of",UA Early College,uaearlycollege.ua.edu,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,"Alabama, University of",Student Introduction To Engineering (SITE),http://site.eng.ua.edu/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Alfred University,Summer Programs for High School Students,http://www.alfred.edu/summer,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,American University,Discover the World of Communication,http://www.audiscover.org,,,,,,,,,,,,,,,,,,,,,,Communications
Camps & Pre-college Program,American University - School of International Service,Community of Scholars,http://www.american.edu/sis/communityofscholars,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,American Youth Foundation,National Leadership Conference,http://www.ayf.com/nlc,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,"Arizona, University of",Astronomy Camp,http://www.astronomycamp.org/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Art Institute of Chicago,Early College Program (ECP),http://www.saic.edu/ecp,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Auburn University,Auburn University Engineering Summer Camps,www.eng.auburn.edu/summercamps,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Auburn University,Auburn Youth Programs,http://auburn.edu/summercamps,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,"Awesome Math, Making x,y,z as easy as a,b,c",AwesomeMath Summer Program,https://www.awesomemath.org/summer-program/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Babson College,Babson Entrepreneur Development Experience,http://www.babson.edu/admission/visiting-students/high-school/Pages/application.aspx,,,,,,,,,,,,,,,,,,,,,,Business
Camps & Pre-college Program,Ball State University,DesignWorks,http://cms.bsu.edu/academics/collegesanddepartments/cap/summer-academy,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Barnad College,Pre-College Programs,http://www.barnad.edu/summer,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Barnard College,Summer in New York City - Pre-College Program,http://www.barnard.edu/precollege,,,,,,,,,,,,,,,,,,,,,,Medicine
Camps & Pre-college Program,Baylor University,High School Summer Science Research Program,http://www.baylor.edu/summerscience,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Bill of Rights Institute,Constitutional Academy,http://billofrightsinstitute.org/engage/students-programs-events/academy/,,,,,,,,,,,,,,,,,,,,,,Civics
Camps & Pre-college Program,Boston College,The Boston College Experience Program,http://www.bc.edu/schools/summer/bce/,,,,,,,,,,,,,,,,,,,,,,Humanities
Camps & Pre-college Program,Boston University,HS Honors/RISE/Summer Challenge/Preview/AIM,http://www.bu.edu/summer/high-school-programs/,,,,,,,,,,,,,,,,,,,,,,STEM
Camps & Pre-college Program,Boston University,Visual Arts Summer Institute,http://www.bu.edu/cfa/vasi/,,,,,,,,,,,,,,,,,,,,,,Art
Camps & Pre-college Program,Boston University,PROMYS (Program in Mathematics for Young Scientists),http://www.promys.org,,,,,,,,,,,,,,,,,,,,,,STEM
